# time  ID  size  fromHost  toHost  TTL  isResponse
1498.0000 M50 126458 p2_15 ADB2 300 N 
1500.1413 N70 1000000 ADB2 p1_7 300 N 
1523.1485 N71 1000000 ADB2 p1_14 300 N 
1528.0000 M51 147770 p2_21 ADB2 300 N 
1560.0000 M52 141919 p2_23 ADB2 300 N 
1577.7144 N72 1000000 ADB2 p1_11 300 N 
1586.0000 M53 133685 p1_9 ADB2 300 N 
1588.2517 N73 1000000 ADB2 p2_23 300 N 
1617.0000 M54 103264 p2_16 ADB2 300 N 
1619.1012 N74 1000000 ADB2 p1_7 300 N 
1621.1444 N75 1000000 ADB2 p2_21 300 N 
1631.9131 N76 1000000 ADB2 p1_14 300 N 
1636.1204 N77 1000000 ADB2 p1_7 300 N 
1646.0000 M55 78171 p2_20 ADB2 300 N 
1677.0000 M56 132957 p2_18 ADB2 300 N 
1680.8367 N78 1000000 ADB2 p1_14 300 N 
1690.5259 N79 1000000 ADB2 p2_23 300 N 
1697.3037 N80 1000000 ADB2 p2_22 300 N 
1707.0000 M57 51479 p1_13 ADB2 300 N 
1731.5224 N81 1000000 ADB2 p2_22 300 N 
1739.0000 M58 87610 p1_14 ADB2 300 N 
1741.1335 N82 1000000 ADB2 p2_19 300 N 
1745.1937 N83 1000000 ADB2 p2_18 300 N 
1764.6235 N84 1000000 ADB2 p2_19 300 N 
1769.0000 M59 112758 p2_20 ADB2 300 N 
1769.7269 N85 1000000 ADB2 p1_9 300 N 
1774.1343 N86 1000000 ADB2 p2_17 300 N 
1801.0000 M60 149278 p1_6 ADB2 300 N 
1823.2473 N87 1000000 ADB2 p2_17 300 N 
1826.0000 M61 124679 p1_8 ADB2 300 N 
1827.0609 N88 1000000 ADB2 p1_5 300 N 
1834.5308 N89 1000000 ADB2 p1_14 300 N 
1852.0000 M62 114734 p1_9 ADB2 300 N 
1856.7323 N90 1000000 ADB2 p1_9 300 N 
1859.6059 N91 1000000 ADB2 p1_12 300 N 
1866.9534 N92 1000000 ADB2 p1_10 300 N 
1869.9118 N93 1000000 ADB2 p1_8 300 N 
1881.0000 M63 120569 p2_16 ADB2 300 N 
1889.2234 N94 1000000 ADB2 p1_13 300 N 
1908.0000 M64 96950 p1_6 ADB2 300 N 
1937.0000 M65 140287 p1_5 ADB2 300 N 
1942.9132 N95 1000000 ADB2 p2_15 300 N 
1968.0000 M66 78271 p1_5 ADB2 300 N 
1970.6723 N96 1000000 ADB2 p2_17 300 N 
1990.7028 N97 1000000 ADB2 p2_21 300 N 
1997.0000 M67 85199 p2_18 ADB2 300 N 
2004.7051 N98 1000000 ADB2 p1_5 300 N 
2022.0000 M68 110233 p1_6 ADB2 300 N 
2054.0000 M69 99614 p2_15 ADB2 300 N 
2088.0000 M70 125299 p2_23 ADB2 300 N 
