# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
2872.5000 M54 103264 4 1255.5000 p2_16 ADB2 279 N p2_16->p2_21->ADB3->CD4->ADB2
2872.6000 M55 78171 5 1226.6000 p2_20 ADB2 279 N p2_20->p2_22->p2_21->ADB3->CD4->ADB2
2872.7000 M69 99614 4 818.7000 p2_15 ADB2 286 N p2_15->p2_21->ADB3->CD4->ADB2
2872.8000 M46 86051 4 1494.8000 p2_22 ADB2 275 N p2_22->p2_19->ADB3->CD4->ADB2
2872.9000 M59 112758 5 1103.9000 p2_20 ADB2 281 N p2_20->p2_19->p2_21->ADB3->CD4->ADB2
2873.0000 M48 134863 3 1436.0000 p2_18 ADB2 276 N p2_18->ADB3->CD4->ADB2
2873.1000 M47 84776 3 1462.1000 p2_18 ADB2 275 N p2_18->ADB3->CD4->ADB2
2873.2000 M63 120569 5 992.2000 p2_16 ADB2 283 N p2_16->p2_17->p2_21->ADB3->CD4->ADB2
2873.3000 M49 105987 5 1408.3000 p2_22 ADB2 276 N p2_22->p2_17->p2_21->ADB3->CD4->ADB2
2873.4000 M77 130783 3 579.4000 p2_21 ADB2 290 N p2_21->ADB3->CD4->ADB2
2873.5000 M52 141919 6 1313.5000 p2_23 ADB2 278 N p2_23->p2_16->p2_17->p2_21->ADB3->CD4->ADB2
3075.4000 M80 81176 1 697.4000 p1_7 ADB2 288 N p1_7->ADB2
3076.0000 M103 148087 1 12.0000 p1_7 ADB2 299 N p1_7->ADB2
3076.4000 M92 87938 2 342.4000 p1_14 ADB2 294 N p1_14->p1_7->ADB2
3076.7000 M89 52436 3 427.7000 p1_11 ADB2 292 N p1_11->p1_14->p1_7->ADB2
3077.1000 M102 96401 1 40.1000 p1_7 ADB2 299 N p1_7->ADB2
3130.8000 M101 96482 1 127.8000 p1_10 ADB2 297 N p1_10->ADB2
3159.6000 M105 97816 1 38.6000 p1_13 ADB2 299 N p1_13->ADB2
3159.9000 M93 69389 1 391.9000 p1_13 ADB2 293 N p1_13->ADB2
3238.1000 M97 76435 4 358.1000 p1_8 ADB2 294 N p1_8->p1_5->p1_14->p1_9->ADB2
3289.3000 N154 1000000 1 43.4330 ADB2 p1_10 299 N ADB2->p1_10
3372.2000 M90 88494 3 698.2000 p1_8 ADB2 288 N p1_8->p1_5->p1_6->ADB2
3383.5000 M107 140865 1 208.5000 p1_12 ADB2 296 N p1_12->ADB2
3422.1000 M110 91039 1 160.1000 p1_13 ADB2 297 N p1_13->ADB2
3627.7000 M111 137512 2 332.7000 p1_11 ADB2 294 N p1_11->p1_14->ADB2
3628.3000 M113 132169 1 276.3000 p1_14 ADB2 295 N p1_14->ADB2
3814.1000 M126 62443 2 90.1000 p1_6 ADB2 298 N p1_6->p1_10->ADB2
3969.4000 M123 64169 2 342.4000 p1_9 ADB2 294 N p1_9->p1_7->ADB2
3969.7000 M121 51626 2 399.7000 p1_5 ADB2 293 N p1_5->p1_7->ADB2
3970.2000 M117 103518 2 509.2000 p1_9 ADB2 291 N p1_9->p1_7->ADB2
4015.2000 M120 74342 1 472.2000 p1_12 ADB2 292 N p1_12->ADB2
4144.4000 M129 110878 2 333.4000 p1_11 ADB2 294 N p1_11->p1_8->ADB2
4144.7000 M115 54649 1 736.7000 p1_8 ADB2 287 N p1_8->ADB2
4157.7000 M131 92886 2 284.7000 p1_13 ADB2 295 N p1_13->p1_7->ADB2
4205.0000 M132 115115 3 301.0000 p1_5 ADB2 294 N p1_5->p1_10->p1_6->ADB2
4205.4000 M141 77788 1 31.4000 p1_6 ADB2 299 N p1_6->ADB2
4214.2000 M130 86904 1 372.2000 p1_5 ADB2 293 N p1_5->ADB2
4214.8000 M133 141759 1 280.8000 p1_5 ADB2 295 N p1_5->ADB2
4215.2000 M138 89621 1 135.2000 p1_5 ADB2 297 N p1_5->ADB2
4228.7000 M79 129028 1 1875.7000 p1_8 ADB2 268 N p1_8->ADB2
4229.3000 M135 137682 1 230.3000 p1_8 ADB2 296 N p1_8->ADB2
4689.6000 M157 110115 1 41.6000 p1_5 ADB2 299 N p1_5->ADB2
4778.4000 M139 57091 1 666.4000 p1_11 ADB2 288 N p1_11->ADB2
4873.5000 M134 106159 2 905.5000 p1_14 ADB2 284 N p1_14->p1_13->ADB2
4874.1000 M156 138589 2 260.1000 p1_14 ADB2 295 N p1_14->p1_13->ADB2
4959.0000 M159 115139 1 250.0000 p1_5 ADB2 295 N p1_5->ADB2
5085.7000 M144 113690 2 830.7000 p1_12 ADB2 286 N p1_12->p1_8->ADB2
5119.6000 M166 77967 1 202.6000 p1_14 ADB2 296 N p1_14->ADB2
5187.4000 M174 87933 1 27.4000 p1_5 ADB2 299 N p1_5->ADB2
5356.1000 M165 76052 1 472.1000 p1_8 ADB2 292 N p1_8->ADB2
5356.5000 M163 76214 1 533.5000 p1_8 ADB2 291 N p1_8->ADB2
5356.9000 M167 99317 1 407.9000 p1_8 ADB2 293 N p1_8->ADB2
5357.3000 M173 79743 1 228.3000 p1_8 ADB2 296 N p1_8->ADB2
5424.8000 N286 1000000 2 95.9800 ADB2 p1_7 298 N ADB2->p1_8->p1_7
5428.8000 N288 1000000 2 66.9772 ADB2 p1_7 298 N ADB2->p1_8->p1_7
5440.0000 N100 1000000 11 3310.39
