# time  ID  size  fromHost  toHost  TTL  isResponse
228.3183 M107 1626408 dtn1_6 ADB2 140 N 
229.4742 M108 2987978 dtn1_6 ADB2 140 N 
229.6164 M109 2444285 dtn1_6 ADB2 140 N 
230.7202 M110 1591502 dtn2_8 ADB2 140 N 
235.8585 M111 1619743 dtn1_6 ADB2 140 N 
238.8768 M112 1077575 dtn2_7 ADB2 140 N 
239.6052 M113 2440506 dtn1_6 ADB2 140 N 
241.7290 M114 1422507 dtn2_8 ADB2 140 N 
242.9930 M115 1667043 dtn1_6 ADB2 140 N 
243.7134 M116 1870121 dtn1_6 ADB2 140 N 
243.9208 M117 1357260 dtn1_6 ADB2 140 N 
248.8646 M118 1469448 dtn2_7 ADB2 140 N 
250.4101 M119 1116020 dtn2_7 ADB2 140 N 
250.6367 M120 2838494 dtn1_6 ADB2 140 N 
254.6378 M121 1353946 dtn2_7 ADB2 140 N 
255.5264 M122 2474057 dtn2_8 ADB2 140 N 
255.6798 N4 1000000 ADB2 dtn2_8 140 N 
257.1425 M123 1299189 dtn2_8 ADB2 140 N 
257.3112 M124 2719389 dtn2_7 ADB2 140 N 
263.7653 M125 1350687 dtn1_6 ADB2 140 N 
272.4501 M126 2919015 dtn2_8 ADB2 140 N 
273.2804 M127 1563385 dtn2_7 ADB2 140 N 
275.9689 M128 1866374 dtn2_7 ADB2 140 N 
277.5955 M129 2802760 dtn1_6 ADB2 140 N 
279.7533 M130 1311974 dtn1_6 ADB2 140 N 
281.7514 M131 1727857 dtn1_6 ADB2 140 N 
282.4714 M132 2899694 dtn1_6 ADB2 140 N 
288.8332 N5 1000000 ADB2 dtn2_7 140 N 
294.5338 M133 1400307 dtn2_7 ADB2 140 N 
295.6203 M134 2263147 dtn1_6 ADB2 140 N 
296.6653 M135 2327479 dtn1_6 ADB2 140 N 
296.7820 M136 2846401 dtn2_8 ADB2 140 N 
297.0718 M137 1906766 dtn2_8 ADB2 140 N 
299.0633 M138 2912498 dtn2_8 ADB2 140 N 
299.6706 M139 1430082 dtn2_8 ADB2 140 N 
299.7994 M140 2647816 dtn2_7 ADB2 140 N 
300.1946 M141 1968721 dtn2_7 ADB2 140 N 
302.9746 M142 1253029 dtn2_8 ADB2 140 N 
304.4752 M143 1251567 dtn2_7 ADB2 140 N 
305.9165 M144 1064851 dtn2_8 ADB2 140 N 
310.6590 M145 2424739 dtn2_8 ADB2 140 N 
311.7460 M146 1109072 dtn1_6 ADB2 140 N 
312.6206 M147 1839088 dtn2_8 ADB2 140 N 
314.7485 M148 2387512 dtn2_7 ADB2 140 N 
321.8979 N6 1000000 ADB2 dtn2_7 140 N 
323.8024 M149 2181262 dtn2_8 ADB2 140 N 
325.8228 M150 2322553 dtn2_7 ADB2 140 N 
327.4844 M151 2167772 dtn2_8 ADB2 140 N 
327.4892 M152 1826370 dtn2_8 ADB2 140 N 
327.5868 M153 2101798 dtn2_7 ADB2 140 N 
332.2429 M154 2091925 dtn2_8 ADB2 140 N 
332.2665 M155 2972891 dtn2_8 ADB2 140 N 
345.8207 M156 1553518 dtn2_8 ADB2 140 N 
356.7405 M157 1284100 dtn2_7 ADB2 140 N 
358.3504 M158 1182174 dtn2_7 ADB2 140 N 
360.1877 M159 1668212 dtn1_6 ADB2 140 N 
361.2765 M160 2024342 dtn2_8 ADB2 140 N 
363.5142 M161 2348451 dtn2_8 ADB2 140 N 
