# time  ID  size  fromHost  toHost  TTL  isResponse
995.5333 M491 2362484 p2_28 ADB3 300 N 
996.6335 M492 1763759 p1_10 ADB3 300 N 
998.3026 M493 2185526 p3_33 ADB3 300 N 
998.8340 M494 1750128 p2_24 ADB3 300 N 
999.7406 M495 2064692 p3_31 ADB3 300 N 
999.9507 M496 1725542 p2_20 ADB3 300 N 
1000.2903 M497 2750308 p3_34 ADB3 300 N 
1001.6915 M498 2607943 p2_21 ADB3 300 N 
1003.1389 M499 2568051 p1_10 ADB3 300 N 
1009.2235 M500 1183281 p1_11 ADB3 300 N 
1009.3123 M501 1392592 p1_9 ADB3 300 N 
1009.4518 M502 1444616 p3_30 ADB3 300 N 
1010.7024 M503 2120581 p2_23 ADB3 300 N 
1012.3834 M504 2437701 p2_24 ADB3 300 N 
1014.1969 M505 2695064 p3_30 ADB3 300 N 
1014.4760 M506 1584879 p3_32 ADB3 300 N 
1021.2258 M507 2874641 p2_24 ADB3 300 N 
1021.3930 M508 2080309 p3_31 ADB3 300 N 
1021.9646 M509 2762913 p2_23 ADB3 300 N 
1025.0982 M510 2149173 p2_21 ADB3 300 N 
1027.3331 M511 1968197 p1_11 ADB3 300 N 
