# time  ID  size  fromHost  toHost  TTL  isResponse
250.2336 M117 1357260 p2_28 ADB3 300 N 
251.1832 M118 1469448 p2_21 ADB3 300 N 
252.3540 M119 1116020 p1_9 ADB3 300 N 
253.8637 M120 2838494 p2_27 ADB3 300 N 
256.9570 M121 1353946 p3_30 ADB3 300 N 
260.1447 M122 2474057 p2_24 ADB3 300 N 
262.6912 M123 1299189 p3_34 ADB3 300 N 
263.1351 M124 2719389 p1_14 ADB3 300 N 
265.4498 M125 1350687 p1_16 ADB3 300 N 
267.2892 M126 2919015 p3_29 ADB3 300 N 
268.7098 M127 1563385 p1_14 ADB3 300 N 
269.6598 M128 1866374 p3_36 ADB3 300 N 
270.8497 M129 2802760 p2_22 ADB3 300 N 
271.6676 M130 1311974 p2_24 ADB3 300 N 
272.0896 M131 1727857 p1_11 ADB3 300 N 
273.2680 M132 2899694 p3_33 ADB3 300 N 
273.7724 M133 1400307 p3_30 ADB3 300 N 
273.7837 M134 2263147 p3_32 ADB3 300 N 
277.1924 M135 2327479 p3_30 ADB3 300 N 
278.0265 M136 2846401 p2_24 ADB3 300 N 
284.4760 M137 1906766 p2_19 ADB3 300 N 
288.3890 M138 2912498 p3_37 ADB3 300 N 
291.5502 M139 1430082 p3_37 ADB3 300 N 
294.9741 M140 2647816 p2_19 ADB3 300 N 
296.0311 M141 1968721 p1_18 ADB3 300 N 
299.1204 M142 1253029 p3_29 ADB3 300 N 
299.8285 M143 1251567 p1_17 ADB3 300 N 
302.7030 M144 1064851 p3_30 ADB3 300 N 
306.8518 M145 2424739 p2_20 ADB3 300 N 
309.1070 M146 1109072 p1_17 ADB3 300 N 
315.7103 M147 1839088 p2_24 ADB3 300 N 
316.4860 M148 2387512 p3_29 ADB3 300 N 
316.8998 M149 2181262 p2_19 ADB3 300 N 
318.2768 M150 2322553 p1_15 ADB3 300 N 
319.4391 M151 2167772 p2_26 ADB3 300 N 
319.9730 M152 1826370 p1_15 ADB3 300 N 
320.3195 M153 2101798 p1_10 ADB3 300 N 
320.3453 M154 2091925 p2_26 ADB3 300 N 
320.5706 M155 2972891 p3_32 ADB3 300 N 
320.9210 M156 1553518 p3_36 ADB3 300 N 
322.4163 M157 1284100 p1_16 ADB3 300 N 
326.5543 M158 1182174 p1_12 ADB3 300 N 
327.6543 M159 1668212 p1_10 ADB3 300 N 
329.9756 M160 2024342 p2_19 ADB3 300 N 
331.3297 M161 2348451 p1_10 ADB3 300 N 
332.8895 M162 2103880 p3_30 ADB3 300 N 
334.8352 M163 2656381 p3_36 ADB3 300 N 
335.3396 M164 2114169 p3_37 ADB3 300 N 
336.4838 M165 2172636 p1_16 ADB3 300 N 
337.4529 M166 1249177 p1_15 ADB3 300 N 
337.7213 M167 1217958 p2_26 ADB3 300 N 
341.6742 M168 2012443 p3_29 ADB3 300 N 
346.0548 M169 1405196 p1_18 ADB3 300 N 
347.6138 M170 1337760 p2_19 ADB3 300 N 
348.2122 M171 2883370 p1_18 ADB3 300 N 
348.5934 M172 2860878 p2_21 ADB3 300 N 
351.6889 M173 2838599 p3_34 ADB3 300 N 
354.8499 M174 2307078 p1_13 ADB3 300 N 
355.2876 M175 2516636 p3_35 ADB3 300 N 
360.9968 M176 1265115 p2_21 ADB3 300 N 
363.7312 M177 1623359 p2_21 ADB3 300 N 
365.2829 M178 1293385 p3_34 ADB3 300 N 
367.8768 M179 2934226 p2_20 ADB3 300 N 
372.0410 M180 2287682 p2_28 ADB3 300 N 
372.3477 M181 1857726 p2_19 ADB3 300 N 
372.6667 M182 1522000 p2_25 ADB3 300 N 
373.2860 M183 1650680 p2_28 ADB3 300 N 
375.5594 M184 1939621 p3_32 ADB3 300 N 
377.5055 M185 2204869 p3_29 ADB3 300 N 
379.5667 M186 2908064 p3_35 ADB3 300 N 
380.3224 M187 1243196 p3_29 ADB3 300 N 
382.7298 M188 1027788 p1_10 ADB3 300 N 
384.3057 M189 2977224 p1_12 ADB3 300 N 
385.5669 M190 1878324 p2_27 ADB3 300 N 
385.9348 M191 1715610 p1_13 ADB3 300 N 
387.4765 M192 1663690 p2_25 ADB3 300 N 
394.0434 M193 2653328 p3_31 ADB3 300 N 
395.1266 M194 2549490 p1_15 ADB3 300 N 
399.4884 M195 2965963 p3_37 ADB3 300 N 
400.0273 M196 1807429 p3_30 ADB3 300 N 
407.1027 M197 1666611 p1_10 ADB3 300 N 
407.8874 M198 2189890 p1_13 ADB3 300 N 
408.2276 M199 2795095 p3_30 ADB3 300 N 
408.4794 M200 2219739 p3_31 ADB3 300 N 
411.6582 M201 1072058 p3_31 ADB3 300 N 
419.3206 M202 1610562 p3_32 ADB3 300 N 
424.5732 M203 2744252 p2_23 ADB3 300 N 
425.2642 M204 1761960 p3_35 ADB3 300 N 
425.5170 M205 2564568 p2_22 ADB3 300 N 
