# time  ID  size  fromHost  toHost  TTL  isResponse
206.7668 N111 1000000 ADB6 p5_61 300 N 
207.5448 N112 1000000 ADB6 p5_61 300 N 
209.0103 N113 1000000 ADB6 p5_55 300 N 
213.4244 N114 1000000 ADB6 p1_17 300 N 
214.2219 N115 1000000 ADB6 p2_26 300 N 
218.6894 N116 1000000 ADB6 p3_37 300 N 
220.7535 N117 1000000 ADB6 p4_46 300 N 
221.5533 N118 1000000 ADB6 p3_40 300 N 
222.4070 N119 1000000 ADB6 p5_54 300 N 
225.0429 N120 1000000 ADB6 p1_16 300 N 
225.5360 N121 1000000 ADB6 p5_57 300 N 
226.5252 N122 1000000 ADB6 p1_17 300 N 
227.8335 N123 1000000 ADB6 p2_26 300 N 
230.4192 N124 1000000 ADB6 p2_30 300 N 
232.8445 N125 1000000 ADB6 p1_16 300 N 
233.0000 M8 63877 p2_27 ADB6 300 N 
236.1238 N126 1000000 ADB6 p2_32 300 N 
236.2948 N127 1000000 ADB6 p4_50 300 N 
236.4048 N128 1000000 ADB6 p3_38 300 N 
236.9471 N129 1000000 ADB6 p4_45 300 N 
240.0994 N130 1000000 ADB6 p4_47 300 N 
243.7957 N131 1000000 ADB6 p2_25 300 N 
245.4425 N132 1000000 ADB6 p1_22 300 N 
247.9660 N133 1000000 ADB6 p5_56 300 N 
248.9958 N134 1000000 ADB6 p1_15 300 N 
249.8348 N135 1000000 ADB6 p5_57 300 N 
249.8940 N136 1000000 ADB6 p3_42 300 N 
252.8342 N137 1000000 ADB6 p4_52 300 N 
255.4709 N138 1000000 ADB6 p4_52 300 N 
260.5862 N139 1000000 ADB6 p1_17 300 N 
260.9811 N140 1000000 ADB6 p1_20 300 N 
261.1687 N141 1000000 ADB6 p2_30 300 N 
262.8298 N142 1000000 ADB6 p1_15 300 N 
263.5590 N143 1000000 ADB6 p1_19 300 N 
263.6177 N144 1000000 ADB6 p3_38 300 N 
264.7229 N145 1000000 ADB6 p5_56 300 N 
265.0000 M9 137686 p3_43 ADB6 300 N 
270.4791 N146 1000000 ADB6 p2_29 300 N 
272.0740 N147 1000000 ADB6 p4_50 300 N 
272.4172 N148 1000000 ADB6 p4_51 300 N 
275.5631 N149 1000000 ADB6 p1_20 300 N 
277.0594 N150 1000000 ADB6 p3_38 300 N 
277.7898 N151 1000000 ADB6 p3_41 300 N 
277.9742 N152 1000000 ADB6 p4_45 300 N 
279.0284 N153 1000000 ADB6 p2_24 300 N 
279.9486 N154 1000000 ADB6 p5_58 300 N 
280.7551 N155 1000000 ADB6 p4_45 300 N 
282.3578 N156 1000000 ADB6 p1_17 300 N 
284.7641 N157 1000000 ADB6 p5_57 300 N 
286.0413 N158 1000000 ADB6 p1_21 300 N 
287.0494 N159 1000000 ADB6 p4_46 300 N 
287.5039 N160 1000000 ADB6 p1_16 300 N 
288.7889 N161 1000000 ADB6 p1_15 300 N 
289.1543 N162 1000000 ADB6 p4_47 300 N 
291.0000 M10 113541 p1_16 ADB6 300 N 
291.7290 N163 1000000 ADB6 p2_25 300 N 
292.0869 N164 1000000 ADB6 p2_24 300 N 
292.1181 N165 1000000 ADB6 p2_28 300 N 
292.4801 N166 1000000 ADB6 p4_46 300 N 
294.2162 N167 1000000 ADB6 p5_55 300 N 
296.7524 N168 1000000 ADB6 p4_46 300 N 
300.5705 N169 1000000 ADB6 p5_58 300 N 
300.6627 N170 1000000 ADB6 p5_54 300 N 
301.8131 N171 1000000 ADB6 p4_44 300 N 
302.6829 N172 1000000 ADB6 p4_44 300 N 
303.8376 N173 1000000 ADB6 p4_48 300 N 
304.2812 N174 1000000 ADB6 p3_37 300 N 
307.6447 N175 1000000 ADB6 p5_54 300 N 
311.4882 N176 1000000 ADB6 p4_49 300 N 
314.6478 N177 1000000 ADB6 p3_36 300 N 
314.8238 N178 1000000 ADB6 p3_43 300 N 
319.1374 N179 1000000 ADB6 p4_44 300 N 
319.5568 N180 1000000 ADB6 p5_62 300 N 
320.0000 M11 112047 p3_34 ADB6 300 N 
320.3829 N181 1000000 ADB6 p5_55 300 N 
323.1797 N182 1000000 ADB6 p5_54 300 N 
325.1156 N183 1000000 ADB6 p2_30 300 N 
325.4943 N184 1000000 ADB6 p1_22 300 N 
325.8163 N185 1000000 ADB6 p2_26 300 N 
325.9338 N186 1000000 ADB6 p2_33 300 N 
326.5343 N187 1000000 ADB6 p1_23 300 N 
327.3358 N188 1000000 ADB6 p3_37 300 N 
330.5727 N189 1000000 ADB6 p2_28 300 N 
331.4525 N190 1000000 ADB6 p3_43 300 N 
339.0731 N191 1000000 ADB6 p3_43 300 N 
341.7767 N192 1000000 ADB6 p5_61 300 N 
345.0000 M12 95086 p3_39 ADB6 300 N 
348.7737 N193 1000000 ADB6 p4_53 300 N 
349.9376 N194 1000000 ADB6 p1_20 300 N 
350.4524 N195 1000000 ADB6 p4_44 300 N 
351.0609 N196 1000000 ADB6 p1_18 300 N 
351.6499 N197 1000000 ADB6 p4_53 300 N 
352.3641 N198 1000000 ADB6 p1_23 300 N 
355.9972 N199 1000000 ADB6 p5_59 300 N 
356.5355 N200 1000000 ADB6 p1_19 300 N 
358.5872 N201 1000000 ADB6 p1_19 300 N 
363.4814 N202 1000000 ADB6 p5_57 300 N 
363.5266 N203 1000000 ADB6 p1_22 300 N 
367.9303 N204 1000000 ADB6 p4_49 300 N 
368.0369 N205 1000000 ADB6 p3_43 300 N 
369.2459 N206 1000000 ADB6 p3_35 300 N 
371.3321 N207 1000000 ADB6 p4_47 300 N 
371.7686 N208 1000000 ADB6 p4_44 300 N 
373.1310 N209 1000000 ADB6 p1_19 300 N 
379.0000 M13 143107 p4_44 ADB6 300 N 
379.6126 N210 1000000 ADB6 p4_52 300 N 
386.1576 N211 1000000 ADB6 p1_23 300 N 
