# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
2953.5000 M63 120569 5 1072.5000 p3_37 ADB6 282 N p3_37->p3_34->ADB7->WIFI_13->WIFI_12->ADB6
2953.6000 M60 149278 6 1152.6000 p3_41 ADB6 280 N p3_41->p3_42->p3_34->ADB7->WIFI_13->WIFI_12->ADB6
2953.7000 M78 107377 4 634.7000 p3_34 ADB6 289 N p3_34->ADB7->WIFI_13->WIFI_12->ADB6
2953.8000 M52 141919 5 1393.8000 p3_37 ADB6 276 N p3_37->p3_34->ADB7->WIFI_13->WIFI_12->ADB6
2953.9000 M50 126458 6 1455.9000 p3_35 ADB6 275 N p3_35->p3_37->p3_34->ADB7->WIFI_13->WIFI_12->ADB6
3002.9000 N570 1000000 8 1934.3535 ADB6 p4_52 267 N ADB6->WIFI_12->WIFI_13->ADB7->CD10->ADB8->p4_49->p4_45->p4_52
3004.5000 N1485 1000000 4 17.3388 ADB6 p3_41 299 N ADB6->WIFI_12->WIFI_13->ADB7->p3_41
3028.3000 M100 96890 4 54.3000 p3_41 ADB6 299 N p3_41->ADB7->WIFI_13->WIFI_12->ADB6
3097.9000 M96 116374 4 244.9000 p2_24 ADB6 295 N p2_24->p2_26->p2_31->p2_30->ADB6
3098.4000 M98 121931 1 189.4000 p2_30 ADB6 296 N p2_30->ADB6
3126.9000 N392 1000000 5 2445.1946 ADB6 p1_18 259 N ADB6->WIFI_12->WIFI_11->ADB5->p1_21->p1_18
3134.9000 N283 1000000 6 2615.0266 ADB6 p3_40 256 N ADB6->WIFI_12->WIFI_13->ADB7->p3_38->p3_39->p3_40
3254.3000 M80 81176 4 876.3000 p3_38 ADB6 285 N p3_38->ADB7->WIFI_13->WIFI_12->ADB6
3254.4000 M99 149694 4 313.4000 p3_38 ADB6 294 N p3_38->ADB7->WIFI_13->WIFI_12->ADB6
3254.5000 M41 88158 5 2038.5000 p3_40 ADB6 266 N p3_40->p3_38->ADB7->WIFI_13->WIFI_12->ADB6
3265.7000 M95 145577 5 442.7000 p1_17 ADB6 292 N p1_17->p1_20->ADB5->WIFI_11->WIFI_12->ADB6
3265.8000 M56 132957 7 1588.8000 p1_16 ADB6 273 N p1_16->p1_17->p1_19->p1_20->ADB5->WIFI_11->WIFI_12->ADB6
3374.3000 N572 1000000 11 2297.5974 ADB6 p4_46 261 N ADB6->WIFI_12->WIFI_13->ADB7->CD10->ADB8->p4_49->p4_45->p4_50->p4_53->p4_51->p4_46
3375.6000 M112 67153 2 53.6000 p2_29 ADB6 299 N p2_29->p2_27->ADB6
3406.3000 N1094 1000000 7 1256.2436 ADB6 p5_58 279 N ADB6->WIFI_12->WIFI_13->ADB7->CD10->ADB9->p5_62->p5_58
3411.3000 N1604 1000000 9 181.3371 ADB6 p3_42 296 N ADB6->WIFI_12->WIFI_13->ADB7->CD10->ADB7->CD10->ADB7->p3_38->p3_42
3619.7000 N1482 1000000 5 635.5112 ADB6 p3_42 289 N ADB6->WIFI_12->WIFI_13->ADB7->p3_41->p3_42
3629.6000 N1175 1000000 5 1327.6740 ADB6 p1_16 277 N ADB6->WIFI_12->WIFI_11->ADB5->p1_15->p1_16
3689.6000 M119 136640 3 173.6000 p2_27 ADB6 297 N p2_27->p2_24->p2_28->ADB6
3690.2000 M111 137512 1 395.2000 p2_28 ADB6 293 N p2_28->ADB6
3773.2000 M123 64169 2 146.2000 p2_33 ADB6 297 N p2_33->p2_27->ADB6
3773.5000 M121 51626 3 203.5000 p2_26 ADB6 296 N p2_26->p2_33->p2_27->ADB6
3814.8000 M72 116893 4 1672.8000 p3_43 ADB6 272 N p3_43->ADB7->WIFI_13->WIFI_12->ADB6
3814.9000 M9 137686 4 3549.9000 p3_43 ADB6 240 N p3_43->ADB7->WIFI_13->WIFI_12->ADB6
3815.0000 M66 78271 4 1847.0000 p3_43 ADB6 269 N p3_43->ADB7->WIFI_13->WIFI_12->ADB6
3815.1000 M89 52436 5 1166.1000 p3_40 ADB6 280 N p3_40->p3_43->ADB7->WIFI_13->WIFI_12->ADB6
3815.2000 M77 130783 6 1521.2000 p3_39 ADB6 274 N p3_39->p3_40->p3_43->ADB7->WIFI_13->WIFI_12->ADB6
3815.3000 M74 75916 4 1616.3000 p3_43 ADB6 273 N p3_43->ADB7->WIFI_13->WIFI_12->ADB6
3815.4000 M88 57417 6 1196.4000 p3_37 ADB6 280 N p3_37->p3_40->p3_43->ADB7->WIFI_13->WIFI_12->ADB6
3831.5000 N1585 1000000 6 646.9634 ADB6 p1_23 289 N ADB6->WIFI_12->WIFI_11->ADB5->p1_22->p1_18->p1_23
3940.5000 N940 1000000 5 2150.8768 ADB6 p1_20 264 N ADB6->WIFI_12->WIFI_11->ADB5->p1_14->p1_20
4065.9000 N1170 1000000 5 1768.8991 ADB6 p1_20 270 N ADB6->WIFI_12->WIFI_11->ADB5->p1_15->p1_20
4066.4000 M127 56002 3 312.4000 p2_24 ADB6 294 N p2_24->p2_28->p2_31->ADB6
4086.4000 N1827 1000000 2 424.1269 ADB6 p2_30 292 N ADB6->p2_27->p2_30
4092.8000 M135 137682 1 93.8000 p2_26 ADB6 298 N p2_26->ADB6
4137.9000 M94 143756 5 1343.9000 p1_22 ADB6 277 N p1_22->p1_18->ADB5->WIFI_11->WIFI_12->ADB6
