# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
782.8000 M189 2977224 1 389.5003 p1_12 ADB3 293 N p1_12->ADB3
799.2000 M238 1398394 1 293.9544 p1_17 ADB3 295 N p1_17->ADB3
806.7000 M328 1868575 1 120.4475 p1_17 ADB3 297 N p1_17->ADB3
816.6000 M169 1405196 2 473.4855 p1_18 ADB3 292 N p1_18->p1_13->ADB3
833.2000 M379 2816403 1 25.6001 p1_16 ADB3 299 N p1_16->ADB3
840.2000 M109 2444285 3 627.8436 p2_28 ADB3 289 N p2_28->ADB4->CD6->ADB3
841.1000 M18 2211571 4 804.3986 p2_22 ADB3 286 N p2_22->p2_21->ADB4->CD6->ADB3
975.8000 M347 2433595 1 251.1649 p1_16 ADB3 295 N p1_16->ADB3
982.9000 M313 1769420 1 330.3143 p1_16 ADB3 294 N p1_16->ADB3
993.7000 M342 2678857 1 283.1043 p1_16 ADB3 295 N p1_16->ADB3
999.3000 M257 1008399 1 456.1443 p1_15 ADB3 292 N p1_15->ADB3
1009.8000 M300 2601070 3 378.2356 p1_9 ADB3 293 N p1_9->p1_10->p1_15->ADB3
1016.4000 M457 1641547 1 78.5599 p1_15 ADB3 298 N p1_15->ADB3
1026.8000 M52 2483915 2 902.6910 p1_12 ADB3 284 N p1_12->p1_18->ADB3
1046.6000 M465 1888064 1 93.8201 p1_16 ADB3 298 N p1_16->ADB3
1052.0000 M245 1340578 1 527.0523 p1_16 ADB3 291 N p1_16->ADB3
1072.2000 M478 1127256 1 81.9179 p1_10 ADB3 298 N p1_10->ADB3
1078.7000 M292 1617082 2 459.5378 p1_9 ADB3 292 N p1_9->p1_10->ADB3
1090.7000 M423 2992926 1 213.8023 p1_10 ADB3 296 N p1_10->ADB3
1103.7000 M387 1220546 1 282.8333 p1_17 ADB3 295 N p1_17->ADB3
1108.0000 M437 1060289 1 199.1880 p1_17 ADB3 296 N p1_17->ADB3
1116.8000 M275 1584973 1 531.1542 p1_18 ADB3 291 N p1_18->ADB3
1126.8000 M336 2482315 1 424.6442 p1_18 ADB3 292 N p1_18->ADB3
1134.7000 M141 1968721 1 845.2496 p1_18 ADB3 285 N p1_18->ADB3
1142.4000 M304 1310020 1 505.5021 p1_14 ADB3 291 N p1_14->ADB3
1151.3000 M268 2213084 1 579.1378 p1_14 ADB3 290 N p1_14->ADB3
1155.7000 M523 1087845 1 75.4663 p1_14 ADB3 298 N p1_14->ADB3
1172.8000 M441 2559185 1 256.5771 p1_17 ADB3 295 N p1_17->ADB3
1182.3000 M545 1072907 1 55.6034 p1_16 ADB3 299 N p1_16->ADB3
1192.7000 M525 2575325 1 104.7292 p1_16 ADB3 298 N p1_16->ADB3
1211.9000 M421 1855904 2 336.8162 p1_12 ADB3 294 N p1_12->p1_11->ADB3
1219.8000 M511 1968197 1 165.9842 p1_11 ADB3 297 N p1_11->ADB3
1230.5000 M432 1246572 1 334.6510 p1_13 ADB3 294 N p1_13->ADB3
1250.4000 M562 2651655 1 85.7783 p1_15 ADB3 298 N p1_15->ADB3
1278.1000 M595 2558070 1 32.3319 p1_12 ADB3 299 N p1_12->ADB3
1291.2000 M397 1169428 1 448.6749 p1_10 ADB3 292 N p1_10->ADB3
1305.8000 M552 1891368 1 158.9700 p1_9 ADB3 297 N p1_9->ADB3
1316.7000 M477 1214660 1 326.5934 p1_15 ADB3 294 N p1_15->ADB3
1323.8000 M606 1772257 1 58.8820 p1_15 ADB3 299 N p1_15->ADB3
1329.5000 M410 1404189 1 466.7921 p1_15 ADB3 292 N p1_15->ADB3
1341.1000 M553 2706958 1 192.1028 p1_11 ADB3 296 N p1_11->ADB3
1356.5000 M446 2496432 1 437.5027 p1_12 ADB3 292 N p1_12->ADB3
1364.0000 M376 1863025 1 561.2816 p1_12 ADB3 290 N p1_12->ADB3
1374.1000 M29 2503373 1 1305.6776 p1_12 ADB3 278 N p1_12->ADB3
1388.9000 M654 2367576 1 23.9634 p1_13 ADB3 299 N p1_13->ADB3
1393.6000 M269 1173392 2 821.4131 p1_18 ADB3 286 N p1_18->p1_13->ADB3
1406.9000 M571 2147904 1 217.1389 p1_17 ADB3 296 N p1_17->ADB3
1427.3000 M215 2568421 1 968.4533 p1_18 ADB3 283 N p1_18->ADB3
1439.6000 M611 2919854 1 161.9945 p1_12 ADB3 297 N p1_12->ADB3
1446.2000 M364 1641683 1 665.7118 p1_12 ADB3 288 N p1_12->ADB3
1456.3000 M302 2505750 1 822.8106 p1_12 ADB3 286 N p1_12->ADB3
1472.2000 M619 2616438 1 167.6382 p1_9 ADB3 297 N p1_9->ADB3
1487.5000 M513 2882334 1 416.3342 p1_11 ADB3 293 N p1_11->ADB3
1495.4000 M351 1973216 1 748.7298 p1_11 ADB3 287 N p1_11->ADB3
1513.6000 M576 1327248 1 308.8478 p1_13 ADB3 294 N p1_13->ADB3
1522.3000 M685 2166935 1 93.5300 p1_13 ADB3 298 N p1_13->ADB3
1531.0000 M630 2164120 1 204.0460 p1_13 ADB3 296 N p1_13->ADB3
1537.1000 N2 1000000 1 355.9789 ADB3 p1_16 294 N ADB3->p1_16
1541.7000 M572 1149731 1 347.5483 p1_16 ADB3 294 N p1_16->ADB3
1551.7000 M681 2497154 1 129.0981 p1_16 ADB3 297 N p1_16->ADB3
1559.3000 M381 1868443 1 748.6071 p1_11 ADB3 287 N p1_11->ADB3
1566.6000 M574 1801597 1 366.7878 p1_11 ADB3 293 N p1_11->ADB3
1575.4000 M53 2183464 2 1446.3256 p1_13 ADB3 275 N p1_13->p1_11->ADB3
1598.5000 M608 2531888 1 325.2538 p1_16 ADB3 294 N p1_16->ADB3
1604.6000 M705 1523818 1 144.2369 p1_16 ADB3 297 N p1_16->ADB3
1609.4000 M581 1188917 1 393.7680 p1_16 ADB3 293 N p1_16->ADB3
1631.2000 M430 2771889 1 737.6026 p1_9 ADB3 287 N p1_9->ADB3
1636.1000 M781 1203425 1 15.6902 p1_9 ADB3 299 N p1_9->ADB3
1646.3000 M739 2534341 1 118.0855 p1_9 ADB3 298 N p1_9->ADB3
1658.5000 M459 1988967 2 718.3615 p1_14 ADB3 288 N p1_14->p1_12->ADB3
1669.8000 M471 2808921 2 697.3690 p1_14 ADB3 288 N p1_14->p1_12->ADB3
1677.0000 M601 1776711 2 425.2427 p1_14 ADB3 292 N p1_14->p1_12->ADB3
1687.5000 M472 2607666 1 711.8303 p1_11 ADB3 288 N p1_11->ADB3
1695.2000 M307 1918174 2 1057.2357 p1_12 ADB3 282 N p1_12->p1_11->ADB3
1718.2000 M636 2231732 1 382.0315 p1_9 ADB3 293 N p1_9->ADB3
1737.6000 M587 1037350 1 502.6705 p1_11 ADB3 291 N p1_11->ADB3
1742.5000 M699 1221556 1 288.6825 p1_11 ADB3 295 N p1_11->ADB3
1751.4000 M547 2222907 1 620.4994 p1_11 ADB3 289 N p1_11->ADB3
1770.5000 M656 2918905 1 401.3663 p1_14 ADB3 293 N p1_14->ADB3
1777.0000 M731 1604199 1 265.6013 p1_14 ADB3 295 N p1_14->ADB3
1787.1000 M594 1798187 1 543.6221 p1_9 ADB3 290 N p1_9->ADB3
1797.2000 M306 2839008 3 1159.8153 p2_19 ADB3 280 N p2_19->ADB4->CD6->ADB3
1798.0000 M298 1815258 3 1170.8318 p2_19 ADB3 280 N p2_19->ADB4->CD6->ADB3
1943.6000 M910 2879367 1 71.3805 p1_16 ADB3 298 N p1_16->ADB3
1950.7000 M492 1763759 2 933.1690 p1_10 ADB3 284 N p1_10->p1_16->ADB3
1963.7000 M612 2238870 1 677.0349 p1_13 ADB3 288 N p1_13->ADB3
1978.6000 M922 2628981 1 86.2985 p1_18 ADB3 298 N p1_18->ADB3
1990.8000 M753 2595811 1 423.6049 p1_17 ADB3 292 N p1_17->ADB3
1998.7000 M877 1957003 1 186.7904 p1_17 ADB3 296 N p1_17->ADB3
2013.7000 M911 1828597 1 140.0118 p1_15 ADB3 297 N p1_15->ADB3
